hour,occupancy_index,occupancy_text,day,av_time_spent,place_id,name,vicinity
8,0,,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,7,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,12,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,19,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,22,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,23,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,20,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,16,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,16,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,25,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,37,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,37,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,46,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,44,Usually not too busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,13,Usually not busy,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Monday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,2,Usually not busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,6,Usually not busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,13,Usually not busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,22,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,25,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,21,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,19,Usually not busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,27,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,45,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,48,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,39,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,47,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,50,Usually a little busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,25,Usually not too busy,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Tuesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,6,Usually not busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,12,Usually not busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,20,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,26,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,29,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,25,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,23,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,25,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,32,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,32,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,26,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,38,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,46,Usually not too busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,16,Usually not busy,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Wednesday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,5,Usually not busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,11,Usually not busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,19,Usually not busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,25,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,29,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,24,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,18,Usually not busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,15,Usually not busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,26,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,45,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,47,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,45,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,56,Usually a little busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,44,Usually not too busy,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Thursday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,8,Usually not busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,17,Usually not busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,25,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,29,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,26,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,22,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,21,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,26,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,33,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,35,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,44,Usually not too busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,64,Usually a little busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,54,Usually a little busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,18,Usually not busy,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Friday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
7,0,,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
8,0,,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
9,7,Usually not busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
10,17,Usually not busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
11,26,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
12,31,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
13,31,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
14,34,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
15,37,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
16,36,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
17,33,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
18,31,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
19,35,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
20,37,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
21,29,Usually not too busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
22,16,Usually not busy,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
23,0,,Saturday,People typically spend 30 min here,ChIJHSD5vb_NHkcRI6Yvq0Hqqto,Amrit Oriental Food,"Grochowska 207, Warszawa"
6,0,,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
7,0,,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
8,0,,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
9,0,,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
10,0,,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
11,14,Usually not busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
12,23,Usually not too busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
13,34,Usually not too busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
14,43,Usually not too busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
15,50,Usually not too busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
16,53,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
17,54,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
18,56,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
19,56,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
20,56,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
21,56,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
22,52,Usually a little busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
23,34,Usually not too busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
0,14,Usually not busy,Sunday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
6,0,,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
7,0,,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
8,0,,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
9,0,,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
10,12,Usually not busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
11,24,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
12,36,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
13,41,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
14,34,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
15,23,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
16,17,Usually not busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
17,22,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
18,32,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
19,34,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
20,30,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
21,30,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
22,28,Usually not too busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
23,16,Usually not busy,Monday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
6,0,,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
7,0,,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
8,0,,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
9,0,,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
10,6,Usually not busy,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
11,18,Usually not busy,Tuesday,People typically spend 45 min here,ChIJ1ezHy1bNHkcRIEaHR0Xh9oU,Amrit Oriental Food,"Warecka 8, Warszawa"
